rank,country_full,total_points,confederation,rank_date,rank_type
101,Tajikistan,1224.19,AFC,2026-06-10,live_unofficial
102,Trinidad and Tobago,1219.59,CONCACAF,2026-06-10,live_unofficial
103,Mozambique,1218.62,CAF,2026-06-10,live_unofficial
104,Madagascar,1202.69,CAF,2026-06-10,live_unofficial
105,Equatorial Guinea,1195.2,CAF,2026-06-10,live_unofficial
106,Kyrgyz Republic,1192.16,AFC,2026-06-10,live_unofficial
107,Armenia,1189.63,UEFA,2026-06-10,live_unofficial
108,Comoros,1187.91,CAF,2026-06-10,live_unofficial
109,Kenya,1185.08,CAF,2026-06-10,live_unofficial
110,Libya,1182.08,CAF,2026-06-10,live_unofficial
111,Kazakhstan,1180.78,UEFA,2026-06-10,live_unofficial
112,Tanzania,1180.27,CAF,2026-06-10,live_unofficial
113,Mauritania,1176.68,CAF,2026-06-10,live_unofficial
114,Niger,1175.33,CAF,2026-06-10,live_unofficial
115,Lebanon,1172.22,AFC,2026-06-10,live_unofficial
116,The Gambia,1159.64,CAF,2026-06-10,live_unofficial
117,Sudan,1157.22,CAF,2026-06-10,live_unofficial
118,Indonesia,1157.14,AFC,2026-06-10,live_unofficial
119,Togo,1152.76,CAF,2026-06-10,live_unofficial
120,Korea DPR,1151.05,AFC,2026-06-10,live_unofficial
121,Namibia,1148.84,CAF,2026-06-10,live_unofficial
122,Sierra Leone,1147.56,CAF,2026-06-10,live_unofficial
123,Faroe Islands,1136.59,UEFA,2026-06-10,live_unofficial
124,Cyprus,1133.25,UEFA,2026-06-10,live_unofficial
125,Suriname,1132.43,CONCACAF,2026-06-10,live_unofficial
126,Azerbaijan,1132.0,UEFA,2026-06-10,live_unofficial
127,Estonia,1130.64,UEFA,2026-06-10,live_unofficial
128,Rwanda,1126.62,CAF,2026-06-10,live_unofficial
129,Malawi,1122.05,CAF,2026-06-10,live_unofficial
130,Zimbabwe,1119.78,CAF,2026-06-10,live_unofficial
131,Nicaragua,1114.63,CONCACAF,2026-06-10,live_unofficial
132,Guinea-Bissau,1108.38,CAF,2026-06-10,live_unofficial
133,Kuwait,1106.47,AFC,2026-06-10,live_unofficial
134,Congo,1105.96,CAF,2026-06-10,live_unofficial
135,Philippines,1100.95,AFC,2026-06-10,live_unofficial
136,Malaysia,1086.22,AFC,2026-06-10,live_unofficial
137,Latvia,1085.66,UEFA,2026-06-10,live_unofficial
138,India,1084.93,AFC,2026-06-10,live_unofficial
139,Central African Republic,1080.82,CAF,2026-06-10,live_unofficial
140,Liberia,1080.44,CAF,2026-06-10,live_unofficial
141,Turkmenistan,1078.65,AFC,2026-06-10,live_unofficial
142,Burundi,1078.01,CAF,2026-06-10,live_unofficial
143,Ethiopia,1077.52,CAF,2026-06-10,live_unofficial
144,Dominican Republic,1076.5,CONCACAF,2026-06-10,live_unofficial
145,Yemen,1065.24,AFC,2026-06-10,live_unofficial
146,Lesotho,1064.29,CAF,2026-06-10,live_unofficial
147,Botswana,1063.63,CAF,2026-06-10,live_unofficial
